Par,9274,290432,1084062,45449,148884,233792,17516,1213359,152720,21320,15601,70569,266576,3966227,4640906,4610,96067,161718,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Nova Ipixuna,2,50,125,-,-,-,-,-,-,42,24,168,280,4056,6422,12,264,475,-,-,-,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1759249,1384.0
Novo Repartimento,-,-,-,100,120,160,-,-,-,-,-,-,250,2875,3408,20,440,660,-,-,-,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1759249,444.0
Tucuruí,-,-,-,-,-,-,-,-,-,-,-,-,70,740,1493,-,-,-,-,-,-,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1759249,259.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1759249,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1759249,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1759249,
RI Lago de Tucuruí,2,50,125,955,2608,2136,0,0,0,92,64,348,4320,59756,93858,32,704,1135,17010,48863,99927,0,0,0,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,22423.0
Breu Branco,-,-,-,-,-,-,-,-,-,-,-,-,100,800,639,-,-,-,5500,19140,40631,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,6478.0
Goianésia do Pará,-,-,-,800,2400,1800,-,-,-,-,-,-,-,-,-,-,-,-,11260,28823,57646,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,6750.0
Itupiranga,-,-,-,55,88,176,-,-,-,50,40,180,3570,50610,80955,-,-,-,-,-,-,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,6393.0
Jacundá,-,-,-,-,-,-,-,-,-,-,-,-,50,675,941,-,-,-,250,900,1650,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,648.0
Nova Ipixuna,2,50,125,-,-,-,-,-,-,42,24,168,280,4056,6422,12,264,475,-,-,-,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,1384.0
Novo Repartimento,-,-,-,100,120,160,-,-,-,-,-,-,250,2875,3408,20,440,660,-,-,-,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,533.0
Tucuruí,-,-,-,-,-,-,-,-,-,-,-,-,70,740,1493,-,-,-,-,-,-,-,-,-,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,237.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri lago.xlsx",Lago de Tucuruí,1562172,
