Par,9274,290432,1084062,17516,1213359,152720,21320,15601,70569,4610,96067,161718,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Tailândia,30,750,2250,-,-,-,200,120,540,75,1875,3375,17500,52500,113715,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,45449,1400.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,45449,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,45449,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,45449,
RI Tocantins,146,3369,10107,115,6552,2949,628,387,1590,140,3299,5842,17500,52500,113715,0,0,0,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,3719.0
Abaetetuba,15,363,1089,100,5700,2565,75,45,203,5,131,236,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,114.0
Acará,5,121,363,-,-,-,50,35,172,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,46.0
Baião,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,68.0
Barcarena,20,486,1458,5,290,131,50,30,138,5,110,209,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,23.0
Cametá,16,192,576,-,-,-,180,108,324,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,180.0
Igarapé-Miri,5,122,366,10,562,253,18,12,54,5,108,194,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,27.0
Limoeiro do Ajuru,5,85,255,-,-,-,5,2,5,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,3.0
Mocajuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,300.0
Moju,50,1250,3750,-,-,-,50,35,154,50,1075,1828,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,158.0
Tailândia,30,750,2250,-,-,-,200,120,540,75,1875,3375,17500,52500,113715,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,2800.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,148884,
RI Tocantins,146,3369,10107,115,6552,2949,628,387,1590,140,3299,5842,17500,52500,113715,0,0,0,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,5551.0
Abaetetuba,15,363,1089,100,5700,2565,75,45,203,5,131,236,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,154.0
Acará,5,121,363,-,-,-,50,35,172,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,92.0
Baião,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,88.0
Barcarena,20,486,1458,5,290,131,50,30,138,5,110,209,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,32.0
Cametá,16,192,576,-,-,-,180,108,324,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,270.0
Igarapé-Miri,5,122,366,10,562,253,18,12,54,5,108,194,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,39.0
Limoeiro do Ajuru,5,85,255,-,-,-,5,2,5,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,5.0
Mocajuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,450.0
Moju,50,1250,3750,-,-,-,50,35,154,50,1075,1828,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,221.0
Tailândia,30,750,2250,-,-,-,200,120,540,75,1875,3375,17500,52500,113715,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,4200.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,233792,
