EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,2.5454651119799996e+16
RI Baixo Amazonas,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,18171394499.0
Alenquer,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,157858375.0
Almeirim,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,5938472.0
Belterra,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,352843834.0
Curuá,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,192167955.0
Faro,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,102051794.0
Juruti,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,1184841849.0
Mojuí dos Campos,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,457250562.0
Monte Alegre,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas,PIB_R_1000,1227318864.0
