Par,45449,148884,233792,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Óbidos,15,12,17,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,1213359,240.0
Oriximiná,10,8,11,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,1213359,100.0
Prainha,2000,1520,2432,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,1213359,293.0
Santarém,700,1890,1852,30000,84600,164970,10,200,800,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,1213359,300.0
Terra Santa,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,1213359,100.0
Fonte: IBGE/PAM,,,,,,,,,,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,1213359,
Elaboração: FAPESPA,,,,,,,,,,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,1213359,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,1213359,
RI Baixo Amazonas,4458,8000,13416,118900,351174,698019,54,1164,5040,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,872.0
Alenquer,30,50,90,-,-,-,2,40,160,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,168.0
Almeirim,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,58.0
Belterra,189,510,1020,29400,88200,176400,2,24,120,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,
Curuá,3,2,4,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,
Faro,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,6.0
Juruti,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,6.0
Mojuí dos Campos,1431,3864,7728,58800,176400,352800,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,113.0
Monte Alegre,80,144,262,700,1974,3849,40,900,3960,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,146.0
Óbidos,15,12,17,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,100.0
Oriximiná,10,8,11,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,48.0
Prainha,2000,1520,2432,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,47.0
Santarém,700,1890,1852,30000,84600,164970,10,200,800,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,150.0
Terra Santa,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,30.0
Fonte: IBGE/PAM,,,,,,,,,,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,
Elaboração: FAPESPA,,,,,,,,,,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,152720,
RI Baixo Amazonas,4458,8000,13416,118900,351174,698019,54,1164,5040,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,2721.0
Alenquer,30,50,90,-,-,-,2,40,160,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,510.0
Almeirim,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,50.0
Belterra,189,510,1020,29400,88200,176400,2,24,120,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,80.0
Curuá,3,2,4,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,9.0
Faro,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,
Juruti,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,3.0
Mojuí dos Campos,1431,3864,7728,58800,176400,352800,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,125.0
Monte Alegre,80,144,262,700,1974,3849,40,900,3960,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,1700.0
Óbidos,15,12,17,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,26.0
Oriximiná,10,8,11,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,72.0
Prainha,2000,1520,2432,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,
Santarém,700,1890,1852,30000,84600,164970,10,200,800,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,145.0
Terra Santa,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,1.0
Fonte: IBGE/PAM,,,,,,,,,,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,
Elaboração: FAPESPA,,,,,,,,,,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,21320,
RI Baixo Amazonas,4458,8000,13416,118900,351174,698019,54,1164,5040,3 Baixo Amazonas,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri baixo.xlsx",Baixo Amazonas,15601,1652.0
