Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Baixo Amazonas,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,104739.0
Alenquer,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,3020.0
Almeirim,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,3404.0
Belterra,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,2129.0
Curuá,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,970.0
Faro,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,867.0
Juruti,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,5457.0
Mojuí dos Campos,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,1017.0
Monte Alegre,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,4345.0
Óbidos,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,3608.0
Oriximiná,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,9927.0
Prainha,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,3032.0
Santarém,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,65478.0
Terra Santa,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas,1445663,1485.0
