EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,2.5454651119799996e+16
RI Carajás,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,5698908713.0
Bom Jesus do Tocantins,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,336973823.0
Brejo Grande do Araguaia,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,143221297.0
Canaã dos Carajás,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,16621560.0
Curionópolis,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,737805926.0
Eldorado do Carajás,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,736063654.0
Marabá,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,9748964708.0
Palestina do Pará,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,12759248.0
Parauapebas,4 Carajás,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,26421066668.0
