Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Rio Caeté,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,59071.0
Augusto Corrêa,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,3188.0
Bonito,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,1498.0
Bragança,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,9200.0
Cachoeira do Piriá,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,1431.0
Capanema,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,10626.0
Nova Timboteua,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,1892.0
Peixe-Boi,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,630.0
Primavera,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,1197.0
Quatipuru,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,985.0
Salinópolis,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,6153.0
Santa Luzia do Pará,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,778.0
Santarém Novo,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,777.0
São João de Pirabas,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,1262.0
Tracuateua,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,1960.0
Viseu,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,17494.0
Fonte: MTE-RAIS,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,
Elaboração: FAPESPA,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,1445663,
RI Rio Caeté,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,731.0
Augusto Corrêa,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,3.0
Bonito,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,34.0
Bragança,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,34.0
Cachoeira do Piriá,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,75.0
Capanema,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,19.0
Nova Timboteua,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,498.0
Peixe-Boi,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,9.0
Primavera,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,2.0
Quatipuru,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,4.0
Salinópolis,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,12.0
Santa Luzia do Pará,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,3.0
Santarém Novo,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,1.0
São João de Pirabas,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,2.0
Tracuateua,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,4.0
Viseu,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,31.0
Fonte: MTE-RAIS,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,
Elaboração: FAPESPA,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,13001,
RI Rio Caeté,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,853.0
Augusto Corrêa,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,178.0
Bonito,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,88.0
Bragança,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,157.0
Cachoeira do Piriá,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,6.0
Capanema,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,162.0
Nova Timboteua,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,20.0
Peixe-Boi,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,19.0
Primavera,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,19.0
Quatipuru,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,10.0
Salinópolis,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,130.0
Santa Luzia do Pará,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,19.0
Santarém Novo,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,3.0
São João de Pirabas,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,9.0
Tracuateua,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,18.0
Viseu,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,15.0
Fonte: MTE-RAIS,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,
Elaboração: FAPESPA,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,27369,
RI Rio Caeté,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,543.0
Augusto Corrêa,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,55.0
Bonito,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,84.0
Bragança,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,100.0
Cachoeira do Piriá,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,6.0
Capanema,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,89.0
Nova Timboteua,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,23.0
Peixe-Boi,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,26.0
Primavera,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,4.0
Quatipuru,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,0.0
Salinópolis,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,78.0
Santa Luzia do Pará,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,19.0
Santarém Novo,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,5.0
São João de Pirabas,9 Rio Caeté,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio caete.xlsx,Rio Caeté,17213,16.0
