Par,col,7,1102,11,38,2073,163,6399,9017,1126,32,3075,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Tapajós,-,-,22,-,-,18,-,-,121,41,-,48,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,6417,260.0
Aveiro,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,6417,16.0
Itaituba,-,-,21,-,-,10,-,-,75,41,-,30,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,6417,137.0
Jacareacanga,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,6417,16.0
Novo Progresso,-,-,1,-,-,8,-,-,46,-,-,18,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,6417,46.0
Rurópolis,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,6417,25.0
Trairão,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,6417,20.0
Fonte: MEC - INEP,,,,,,,,,,,,,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,6417,
Elaboração: FAPESPA,,,,,,,,,,,,,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,6417,
RI Tapajós,-,-,22,-,-,18,-,-,121,41,-,48,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,7510,282.0
Aveiro,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,7510,16.0
Itaituba,-,-,21,-,-,10,-,-,75,41,-,30,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,7510,158.0
Jacareacanga,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,7510,16.0
Novo Progresso,-,-,1,-,-,8,-,-,46,-,-,18,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,7510,47.0
Rurópolis,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,7510,25.0
Trairão,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,7510,20.0
Fonte: MEC - INEP,,,,,,,,,,,,,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,7510,
Elaboração: FAPESPA,,,,,,,,,,,,,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,7510,
RI Tapajós,-,-,22,-,-,18,-,-,121,41,-,48,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós,11947,573.0
